scenario,instance,reschedule_rate_pct,highstab_threshold_P50,method,trial,union_hv,highstab_hv,aoc
la40,la40_la40_delay148,32,8,Memetic+repair,3,1.155983,0.028969,0.739302
la40,la40_la40_delay148,32,8,Memetic+repair,4,1.152593,0.025307,0.736702
la40,la40_la40_delay148,32,8,Memetic+repair,5,1.153636,0.026351,0.741411
la40,la40_la40_delay148,32,8,Memetic+repair,6,1.155983,0.028969,0.723460
la40,la40_la40_delay148,32,8,Memetic+repair,7,1.155983,0.028969,0.712857
la40,la40_la40_delay148,32,8,Memetic+repair,8,1.157027,0.030013,0.721087
la40,la40_la40_delay148,32,8,Memetic+repair,9,1.155983,0.028969,0.708318
la40,la40_la40_delay148,32,8,Memetic+PR,0,1.157027,0.030013,0.692489
la40,la40_la40_delay148,32,8,Memetic+PR,1,1.158070,0.031223,0.700353
la40,la40_la40_delay148,32,8,Memetic+PR,2,1.158070,0.031223,0.697346
la40,la40_la40_delay148,32,8,Memetic+PR,3,1.159113,0.032266,0.683654
la40,la40_la40_delay148,32,8,Memetic+PR,4,1.159113,0.032266,0.697971
la40,la40_la40_delay148,32,8,Memetic+PR,5,1.157027,0.030013,0.708979
la40,la40_la40_delay148,32,8,Memetic+PR,6,1.157027,0.030013,0.691362
la40,la40_la40_delay148,32,8,Memetic+PR,7,1.159113,0.032266,0.699781
la40,la40_la40_delay148,32,8,Memetic+PR,8,1.153636,0.026351,0.701355
la40,la40_la40_delay148,32,8,Memetic+PR,9,1.157027,0.030013,0.683661
la21,la21_la21_delay147,35,16,ILS-baseline,0,1.021944,0.061344,0.632850
la21,la21_la21_delay147,35,16,ILS-baseline,1,1.018598,0.061344,0.647264
la21,la21_la21_delay147,35,16,ILS-baseline,2,1.018598,0.061344,0.688135
la21,la21_la21_delay147,35,16,ILS-baseline,3,1.018598,0.061344,0.678383
la21,la21_la21_delay147,35,16,ILS-baseline,4,1.015253,0.061344,0.716553
la21,la21_la21_delay147,35,16,ILS-baseline,5,1.015253,0.061344,0.632014
la21,la21_la21_delay147,35,16,ILS-baseline,6,1.018598,0.061344,0.658744
la21,la21_la21_delay147,35,16,ILS-baseline,7,1.021944,0.061344,0.687692
la21,la21_la21_delay147,35,16,ILS-baseline,8,1.018598,0.061344,0.732750
la21,la21_la21_delay147,35,16,ILS-baseline,9,1.015253,0.061344,0.611116
la21,la21_la21_delay147,35,16,ILS+repair,0,1.021944,0.061344,0.629494
la21,la21_la21_delay147,35,16,ILS+repair,1,1.021944,0.061344,0.647939
la21,la21_la21_delay147,35,16,ILS+repair,2,1.021944,0.061344,0.682690
la21,la21_la21_delay147,35,16,ILS+repair,3,1.021944,0.061344,0.675720
la21,la21_la21_delay147,35,16,ILS+repair,4,1.021944,0.061344,0.680475
la21,la21_la21_delay147,35,16,ILS+repair,5,1.018598,0.061344,0.647943
la21,la21_la21_delay147,35,16,ILS+repair,6,1.021944,0.061344,0.662365
la21,la21_la21_delay147,35,16,ILS+repair,7,1.021944,0.061344,0.659670
la21,la21_la21_delay147,35,16,ILS+repair,8,1.021944,0.061344,0.730922
la21,la21_la21_delay147,35,16,ILS+repair,9,1.021944,0.061344,0.617900
la21,la21_la21_delay147,35,16,ILS+PR,0,1.021944,0.061344,0.628647
la21,la21_la21_delay147,35,16,ILS+PR,1,1.021944,0.061344,0.649979
la21,la21_la21_delay147,35,16,ILS+PR,2,1.018598,0.061344,0.676257
la21,la21_la21_delay147,35,16,ILS+PR,3,1.015253,0.061344,0.660940
la21,la21_la21_delay147,35,16,ILS+PR,4,1.018598,0.061344,0.694133
la21,la21_la21_delay147,35,16,ILS+PR,5,1.018598,0.061344,0.637963
la21,la21_la21_delay147,35,16,ILS+PR,6,1.018598,0.061344,0.654042
la21,la21_la21_delay147,35,16,ILS+PR,7,1.021944,0.061344,0.682658
la21,la21_la21_delay147,35,16,ILS+PR,8,1.021944,0.061344,0.707574
la21,la21_la21_delay147,35,16,ILS+PR,9,1.018598,0.061344,0.616011
la21,la21_la21_delay147,35,16,GA,0,0.856203,0.029427,0.404968
la21,la21_la21_delay147,35,16,GA,1,0.926460,0.029427,0.398971
la21,la21_la21_delay147,35,16,GA,2,0.932482,0.029427,0.408624
la21,la21_la21_delay147,35,16,GA,3,0.845497,0.029038,0.324254
la21,la21_la21_delay147,35,16,GA,4,0.606153,0.029427,0.374361
la21,la21_la21_delay147,35,16,GA,5,0.925791,0.029427,0.490534
la21,la21_la21_delay147,35,16,GA,6,0.951218,0.029427,0.479782
la21,la21_la21_delay147,35,16,GA,7,0.951218,0.029427,0.529840
la21,la21_la21_delay147,35,16,GA,8,0.925122,0.029427,0.410832
la21,la21_la21_delay147,35,16,GA,9,0.846835,0.029427,0.420451
la21,la21_la21_delay147,35,16,Memetic-LS,0,0.973299,0.029427,0.585885
la21,la21_la21_delay147,35,16,Memetic-LS,1,0.973299,0.029427,0.593492
la21,la21_la21_delay147,35,16,Memetic-LS,2,0.973299,0.029427,0.620562
la21,la21_la21_delay147,35,16,Memetic-LS,3,0.973299,0.029427,0.592409
la21,la21_la21_delay147,35,16,Memetic-LS,4,0.967277,0.029427,0.586228
la21,la21_la21_delay147,35,16,Memetic-LS,5,0.973299,0.029427,0.645347
la21,la21_la21_delay147,35,16,Memetic-LS,6,0.973299,0.029427,0.638175
la21,la21_la21_delay147,35,16,Memetic-LS,7,0.973299,0.029427,0.602800
la21,la21_la21_delay147,35,16,Memetic-LS,8,0.973299,0.029427,0.615182
la21,la21_la21_delay147,35,16,Memetic-LS,9,0.973299,0.029427,0.625949
